user_id,post_id
139124,660582
225666,110950
21846,27933
3181,657683
21728,598417
93009,40747
114857,367075
174145,20688
194977,574492
115290,161233
146885,277695
191143,506701
294042,59135
283543,837634
146215,996929
283903,612914
59682,387267
287907,799995
299129,211956
264312,910671
217049,699492
262947,141247
199921,195191
144401,593927
75867,353890
18404,164199
59140,603052
106828,689638
281448,96950
160674,47784
23192,557171
175831,810908
204252,587791
279206,665244
155088,205925
45671,929985
260721,465417
142858,643240
129438,730364
188756,217443
216300,101549
292873,853487
294176,192673
118760,139034
124420,314131
153380,537012
121231,804059
35536,454053
36086,266526
96204,573388
284168,613982
279178,39330
51876,991532
158445,282712
214755,704252
198717,124933
143673,26828
193987,149674
16418,218840
281214,63960
210387,413830
290817,335759
299581,18472
75807,471044
82462,497930
203270,860519
137666,386373
105938,796292
112180,97984
247374,540791
215515,683593
73599,736092
6526,610039
275320,38799
186388,787516
119982,23278
42054,52592
123264,902004
153676,962474
34771,210698
251645,277269
203007,865645
49059,865922
295587,97030
95159,534330
142101,830274
79777,672889
301935,889869
204446,671973
230016,14902
276200,360205
2632,981148
2829,469374
234269,879471
4812,834904
69199,142731
112092,483354
284676,810743
194679,838990
115580,129086
238405,189642
156340,150699
86667,87759
112627,649020
297984,916620
177059,449666
91784,281085
185370,968377
124324,409935
15881,670245
233092,169817
43955,328678
278801,338364
26804,781099
29688,511618
58261,412277
113321,775295
109507,734605
176858,243285
186811,380205
230529,978569
85637,828843
101190,604978
269519,845661
150023,107732
79644,321068
107055,880822
264296,240349
241041,345591
283752,219937
198209,470175
281032,37423
166931,648414
300471,848073
230081,535046
11734,918363
201685,302355
265415,327030
184905,274871
107747,594725
187712,661727
166874,844548
145690,469772
78574,742543
280891,357057
157811,267422
179981,6674
289954,84905
143197,624251
247645,280508
65925,577486
20184,112568
72073,594967
266530,933943
240770,849762
121811,312918
95725,79994
293336,164926
14407,656391
93573,569392
60466,683267
97008,530827
39476,858383
298947,558868
51674,987037
120035,248521
255751,182386
74477,356443
302680,58831
294797,935176
171487,328464
175093,553418
27984,802270
29435,192121
49358,352007
290483,100796
80022,488271
29775,518857
49641,529920
209723,490069
83943,338864
123750,186004
177196,338746
112913,495511
146369,402434
140920,199609
118223,373839
148174,610729
278775,616199
136979,19199
211600,314227
219039,607985
16614,472440
279509,480326
303034,662116
100404,671410
231431,606883
120941,408577
74531,29786
219425,74680
266981,128528
169856,306452
267010,937613
22677,144747
169137,463268
217845,397733
235158,239842
75270,667533
79686,514295
133671,418442
93919,471881
196183,229610
19519,237844
17076,549613
188501,515044
197159,999478
196881,969687
10487,474773
149617,568044
180629,780147
192388,310764
295162,343750
121076,211232
198101,406231
163841,615605
85663,104900
230452,836301
215085,13859
55145,542601
47452,305726
216589,981410
199799,727307
119723,532569
164954,553866
182677,147972
25318,371102
128397,638562
240296,823845
43868,212949
81640,656010
118663,187226
212560,244685
46490,954819
280208,569302
47210,254848
213509,145027
178703,248618
302851,18302
146646,297120
115495,435035
123916,928147
89704,303690
107259,509839
27036,363382
173613,858051
142743,55458
114780,282141
259219,207657
33390,748105
133800,407291
124148,373589
292590,908361
263397,580345
298733,721000
212554,779689
70045,407660
25265,694604
243014,245300
286246,989382
163133,895436
25713,508162
139339,523702
56612,114003
121924,92808
295571,650339
25983,880775
265270,854647
168566,863245
292210,339559
21066,860142
156746,792222
93248,90876
27275,199490
222578,769130
241483,350299
266661,219374
228596,565603
209489,24813
